BcuEnyMagtSoc,BcuDchaPwrLongTiMax,BcuChrgPwrLongTiMax,FrntGerMotGenrPwr,EmsFuCns,EmsEngSpd,EmsEngTqFlywh,FrntGerSpd,FrntGerTq,BcuDchaPwrShoTiMax,BcuChrgPwrShoTiMax,step
19.998690581004926,199.9947623240197,105.1433504,-0.0,0.0,2000.0,0.0,2000.0,-0.0,199.9947623240197,105.1433504,0
19.99178969952871,199.96715879811484,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.96715879811484,105.1433504,100
19.98848605089417,199.95394420357667,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.95394420357667,105.1433504,200
19.985182425652813,199.94072970261124,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.94072970261124,105.1433504,300
19.981878560418114,199.92751424167244,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.92751424167244,105.1433504,400
19.97857466234832,199.9142986493933,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.9142986493933,105.1433504,500
19.975270769115568,199.90108307646227,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.90108307646227,105.1433504,600
19.971966871045773,199.8878674841831,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.8878674841831,105.1433504,700
19.968662973572982,199.87465189429193,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.87465189429193,105.1433504,800
19.96535907490619,199.86143629962476,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.86143629962476,105.1433504,900
19.962055176239396,199.84822070495758,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.84822070495758,105.1433504,1000
19.9587512775726,199.8350051102904,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.8350051102904,105.1433504,1100
19.955447585399398,199.8217903415976,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.8217903415976,105.1433504,1200
19.95214477473497,199.80857909893987,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.80857909893987,105.1433504,1300
19.948841962876543,199.79536785150617,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.79536785150617,105.1433504,1400
19.945539151018114,199.78215660407244,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.78215660407244,105.1433504,1500
19.942236339159685,199.76894535663874,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.76894535663874,105.1433504,1600
19.938933527301252,199.755734109205,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.755734109205,105.1433504,1700
19.935630715442826,199.7425228617713,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.7425228617713,105.1433504,1800
19.932327903584397,199.72931161433758,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.72931161433758,105.1433504,1900
19.929025091725965,199.71610036690385,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.71610036690385,105.1433504,2000
19.925722282255546,199.7028891290222,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.7028891290222,105.1433504,2100
19.922419470397116,199.68967788158847,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.68967788158847,105.1433504,2200
19.919116658538684,199.67646663415474,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.67646663415474,105.1433504,2300
19.915813216331404,199.6632528653256,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.6632528653256,105.1433504,2400
19.91250823085625,199.650032923425,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.650032923425,105.1433504,2500
19.90920324538109,199.63681298152437,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.63681298152437,105.1433504,2600
19.905898259905932,199.62359303962373,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.62359303962373,105.1433504,2700
19.90259327443077,199.61037309772308,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.61037309772308,105.1433504,2800
19.899288291343616,199.59715316537446,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.59715316537446,105.1433504,2900
19.89598330348045,199.5839332139218,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.5839332139218,105.1433504,3000
19.892678320393294,199.57071328157318,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.57071328157318,105.1433504,3100
19.88937333730614,199.55749334922456,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.55749334922456,105.1433504,3200
19.886068621675722,199.54427448670288,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.54427448670288,105.1433504,3300
19.88276391082132,199.5310556432853,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.5310556432853,105.1433504,3400
19.879459195190908,199.51783678076362,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.51783678076362,105.1433504,3500
19.876154484336507,199.50461793734604,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.50461793734604,105.1433504,3600
19.87284976870609,199.49139907482436,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.49139907482436,105.1433504,3700
19.869545053075672,199.47818021230268,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.47818021230268,105.1433504,3800
19.86624034222127,199.4649613688851,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.4649613688851,105.1433504,3900
19.862935626590854,199.45174250636342,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.45174250636342,105.1433504,4000
19.859630915736453,199.4385236629458,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.4385236629458,105.1433504,4100
19.85632620010604,199.42530480042416,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.42530480042416,105.1433504,4200
19.85302148925164,199.41208595700655,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.41208595700655,105.1433504,4300
19.849716773621218,199.39886709448487,105.1433504,-18.886947094570903,1.6077071855860738e-05,2000.0,100.0,2000.0,-100.0,199.39886709448487,105.1433504,4400
